pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,5281959998_10151308484864999,10151308484864999_10151308499554999,0,0,0,0,3,0
nytimes,5281959998_10151308484864999,10151308484864999_10151308667234999,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_10151309610129999,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_10151309617264999,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_10151309624784999,0,0,0,0,0,3
nytimes,5281959998_10151309605854999,10151309605854999_127608954562125,0,0,0,0,2,1
nytimes,5281959998_10151309605854999,10151309605854999_1444329578954175,0,0,0,0,1,2
nytimes,5281959998_10151309605854999,10151309605854999_178377662728486,0,0,0,0,3,1
nytimes,5281959998_10151309605854999,10151309605854999_1803372586619529,0,0,0,1,1,1
nytimes,5281959998_10151309605854999,10151309605854999_1803378863285568,0,0,0,0,1,2
nytimes,5281959998_10151309605854999,10151309605854999_202035087003207,0,0,0,0,2,1
nytimes,5281959998_10151309605854999,10151309605854999_279856439178413,0,0,0,0,1,2
nytimes,5281959998_10151309605854999,10151309605854999_326336721170596,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_527228244282186,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_675104479350059,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_725422817668299,0,0,0,0,3,0
nytimes,5281959998_10151309605854999,10151309605854999_725425777668003,0,0,0,0,3,0
nytimes,5281959998_10151310132129999,10151310132129999_10151310161854999,0,0,0,0,3,0
nytimes,5281959998_10151310132129999,10151310132129999_1635853939779670,0,0,0,0,3,0
nytimes,5281959998_10151311025844999,10151311025844999_10151311034514999,0,0,0,0,3,0
nytimes,5281959998_10151311025844999,10151311025844999_10151311043794999,0,0,0,0,3,0
nytimes,5281959998_10151311025844999,10151311025844999_10151311436644999,0,0,0,0,3,0
nytimes,5281959998_10151311025844999,10151311025844999_127058961354746,0,0,0,0,3,0
nytimes,5281959998_10151311025844999,10151311025844999_1919041575003130,0,0,0,0,3,0
nytimes,5281959998_10151315045359999,10151315045359999_10151315055409999,0,0,0,0,3,0
nytimes,5281959998_10151315045359999,10151315045359999_10151315056779999,0,0,0,0,3,0
nytimes,5281959998_10151315045359999,10151315045359999_10151315058724999,0,0,0,0,3,0
nytimes,5281959998_10151315045359999,10151315045359999_10151315061979999,0,0,0,0,0,3
